id,nome,cpf,email,preco,data_pedido,data_entrega,data_atualizacao
14,Cliente 14,55691116784,user14@email.com,212.37,2026-03-22 01:34:14.505842,2026-03-22 01:34:14.505842,2026-03-22 01:34:14.505842
15,Cliente 15,95440054965,,137.56,2026-03-22 01:34:14.505842,2026-03-25 01:34:14.505842,2026-03-22 01:34:14.505842
16,Cliente 16,25839975478,user16@email.com,361.39,2026-03-22 01:34:14.505842,2026-03-21 01:34:14.505842,2026-03-24 01:34:14.505842
17,Cliente 17,51149543133,user17@email.com,318.33,2026-03-21 01:34:14.505842,2026-03-19 01:34:14.505842,2026-03-23 01:34:14.505842
18,Cliente 18,66009842693,user18@email.com,107.14,2026-03-21 01:34:14.505842,2026-03-19 01:34:14.505842,2026-03-21 01:34:14.505842
19,Cliente 19,14222262500,user19@email.com,76.34,2026-03-19 01:34:14.505842,2026-03-22 01:34:14.505842,2026-03-21 01:34:14.505842
20,Cliente 20,12345678900,invalid_email,474.63,2026-03-19 01:34:14.505842,2026-03-18 01:34:14.505842,2026-03-21 01:34:14.505842
21,Cliente 21,59826660339,user21@email.com,425.91,2026-03-23 01:34:14.505842,2026-03-26 01:34:14.505842,2026-03-22 01:34:14.505842
22,Cliente 22,13811520155,user22@email.com,291.25,2026-03-22 01:34:14.505842,2026-03-22 01:34:14.505842,2026-03-22 01:34:14.505842
23,Cliente 23,19193780479,user23@email.com,164.4,2026-03-20 01:34:14.505842,2026-03-21 01:34:14.505842,2026-03-22 01:34:14.505842
24,Cliente 24,37749288564,user24@email.com,147.53,2026-03-24 01:34:14.505842,2026-03-26 01:34:14.505842,2026-03-23 01:34:14.505842
25,Cliente 25,48184701681,user25@email.com,-78.36,2026-03-24 01:34:14.505842,2026-03-26 01:34:14.505842,2026-03-21 01:34:14.505842
26,Cliente 26,50721699282,user26@email.com,227.53,2026-03-19 01:34:14.505842,2026-03-17 01:34:14.505842,2026-03-21 01:34:14.505842
27,Cliente 27,21961839525,user27@email.com,40.98,2026-03-19 01:34:14.505842,2026-03-21 01:34:14.505842,2026-03-21 01:34:14.505842
28,Cliente 28,85431523359,user28@email.com,13.81,2026-03-20 01:34:14.505842,2026-03-20 01:34:14.505842,2026-03-22 01:34:14.505842
29,Cliente 29,11558113065,user29@email.com,387.2,2026-03-23 01:34:14.505842,2026-03-24 01:34:14.505842,2026-03-23 01:34:14.505842
30,Cliente 30,51230567453,,428.44,2026-03-20 01:34:14.505842,2026-03-21 01:34:14.505842,2026-03-23 01:34:14.505842
31,Cliente 31,54312940404,user31@email.com,189.8,2026-03-23 01:34:14.505842,2026-03-26 01:34:14.505842,2026-03-24 01:34:14.505842
32,Cliente 32,45751215118,user32@email.com,320.98,2026-03-23 01:34:14.505842,2026-03-25 01:34:14.505842,2026-03-22 01:34:14.505842
33,Cliente 33,90328449591,user33@email.com,50.81,2026-03-23 01:34:14.505842,2026-03-21 01:34:14.505842,2026-03-24 01:34:14.505842
34,Cliente 34,48287999928,user34@email.com,103.65,2026-03-21 01:34:14.505842,2026-03-23 01:34:14.505842,2026-03-22 01:34:14.505842
35,Cliente 35,65413562779,user35@email.com,318.47,2026-03-24 01:34:14.505842,2026-03-25 01:34:14.505842,2026-03-24 01:34:14.505842
36,Cliente 36,82532104672,user36@email.com,339.61,2026-03-21 01:34:14.505842,2026-03-20 01:34:14.505842,2026-03-21 01:34:14.505842
37,Cliente 37,30780482715,user37@email.com,350.37,2026-03-19 01:34:14.505842,2026-03-17 01:34:14.505842,2026-03-22 01:34:14.505842
38,Cliente 38,36368988975,user38@email.com,175.9,2026-03-19 01:34:14.505842,2026-03-17 01:34:14.505842,2026-03-24 01:34:14.505842
39,Cliente 39,90272337908,user39@email.com,249.68,2026-03-21 01:34:14.505842,2026-03-22 01:34:14.505842,2026-03-21 01:34:14.505842
40,Cliente 40,12345678900,invalid_email,246.55,2026-03-21 01:34:14.505842,2026-03-19 01:34:14.505842,2026-03-22 01:34:14.505842
41,Cliente 41,53675471855,user41@email.com,471.37,2026-03-21 01:34:14.505842,2026-03-21 01:34:14.505842,2026-03-21 01:34:14.505842
42,Cliente 42,65629103382,user42@email.com,197.64,2026-03-24 01:34:14.505842,2026-03-24 01:34:14.505842,2026-03-21 01:34:14.505842
43,Cliente 43,83930357411,user43@email.com,173.53,2026-03-23 01:34:14.505842,2026-03-26 01:34:14.505842,2026-03-22 01:34:14.505842
44,Cliente 44,51796693397,user44@email.com,325.31,2026-03-22 01:34:14.505842,2026-03-20 01:34:14.505842,2026-03-21 01:34:14.505842
45,Cliente 45,82810657125,,157.52,2026-03-23 01:34:14.505842,2026-03-26 01:34:14.505842,2026-03-22 01:34:14.505842
46,Cliente 46,66289907177,user46@email.com,52.06,2026-03-21 01:34:14.505842,2026-03-22 01:34:14.505842,2026-03-24 01:34:14.505842
47,Cliente 47,29308738610,user47@email.com,265.94,2026-03-20 01:34:14.505842,2026-03-19 01:34:14.505842,2026-03-22 01:34:14.505842
48,Cliente 48,78208491632,user48@email.com,270.43,2026-03-24 01:34:14.505842,2026-03-27 01:34:14.505842,2026-03-21 01:34:14.505842
49,Cliente 49,11051337678,user49@email.com,276.11,2026-03-22 01:34:14.505842,2026-03-25 01:34:14.505842,2026-03-24 01:34:14.505842
50,Cliente 50,85041876760,invalid_email,-208.7,2026-03-21 01:34:14.505842,2026-03-20 01:34:14.505842,2026-03-23 01:34:14.505842
51,Cliente 51,26209279598,user51@email.com,81.81,2026-03-21 01:34:14.505842,2026-03-22 01:34:14.505842,2026-03-24 01:34:14.505842
52,Cliente 52,70529850954,user52@email.com,344.34,2026-03-20 01:34:14.505842,2026-03-23 01:34:14.505842,2026-03-23 01:34:14.505842
53,Cliente 53,69294474124,user53@email.com,54.09,2026-03-21 01:34:14.505842,2026-03-19 01:34:14.505842,2026-03-24 01:34:14.505842
54,Cliente 54,91055969122,user54@email.com,175.29,2026-03-20 01:34:14.505842,2026-03-19 01:34:14.505842,2026-03-23 01:34:14.505842
55,Cliente 55,42952248608,user55@email.com,478.93,2026-03-22 01:34:14.505842,2026-03-20 01:34:14.505842,2026-03-23 01:34:14.505842
56,Cliente 56,76443329136,user56@email.com,50.46,2026-03-24 01:34:14.505842,2026-03-26 01:34:14.505842,2026-03-21 01:34:14.505842
57,Cliente 57,15484010817,user57@email.com,314.1,2026-03-23 01:34:14.505842,2026-03-25 01:34:14.505842,2026-03-22 01:34:14.505842
58,Cliente 58,30973200616,user58@email.com,88.96,2026-03-20 01:34:14.505842,2026-03-18 01:34:14.505842,2026-03-23 01:34:14.505842
59,Cliente 59,99734415186,user59@email.com,53.53,2026-03-22 01:34:14.505842,2026-03-24 01:34:14.505842,2026-03-24 01:34:14.505842
60,Cliente 60,12345678900,,331.44,2026-03-19 01:34:14.505842,2026-03-22 01:34:14.505842,2026-03-24 01:34:14.505842
61,Cliente 61,90261968159,user61@email.com,86.08,2026-03-19 01:34:14.505842,2026-03-18 01:34:14.505842,2026-03-21 01:34:14.505842
62,Cliente 62,57825591183,user62@email.com,384.86,2026-03-21 01:34:14.505842,2026-03-21 01:34:14.505842,2026-03-21 01:34:14.505842
63,Cliente 63,14167907166,user63@email.com,87.31,2026-03-19 01:34:14.505842,2026-03-22 01:34:14.505842,2026-03-23 01:34:14.505842
64,Cliente 64,24821132254,user64@email.com,324.4,2026-03-24 01:34:14.505842,2026-03-26 01:34:14.505842,2026-03-23 01:34:14.505842
65,Cliente 65,87886674515,user65@email.com,159.85,2026-03-24 01:34:14.505842,2026-03-27 01:34:14.505842,2026-03-23 01:34:14.505842
66,Cliente 66,85979298423,user66@email.com,443.51,2026-03-22 01:34:14.505842,2026-03-20 01:34:14.505842,2026-03-21 01:34:14.505842
67,Cliente 67,99323241498,user67@email.com,88.7,2026-03-23 01:34:14.505842,2026-03-23 01:34:14.505842,2026-03-24 01:34:14.505842
68,Cliente 68,45242857079,user68@email.com,174.36,2026-03-21 01:34:14.505842,2026-03-22 01:34:14.505842,2026-03-23 01:34:14.505842
69,Cliente 69,19611542184,user69@email.com,126.44,2026-03-20 01:34:14.505842,2026-03-20 01:34:14.505842,2026-03-24 01:34:14.505842
70,Cliente 70,43094548468,invalid_email,408.44,2026-03-19 01:34:14.505842,2026-03-20 01:34:14.505842,2026-03-24 01:34:14.505842
71,Cliente 71,48896365338,user71@email.com,152.65,2026-03-21 01:34:14.505842,2026-03-23 01:34:14.505842,2026-03-22 01:34:14.505842
72,Cliente 72,15747613939,user72@email.com,336.87,2026-03-23 01:34:14.505842,2026-03-25 01:34:14.505842,2026-03-24 01:34:14.505842
73,Cliente 73,32411769674,user73@email.com,26.35,2026-03-21 01:34:14.505842,2026-03-23 01:34:14.505842,2026-03-23 01:34:14.505842
74,Cliente 74,21281123287,user74@email.com,474.87,2026-03-22 01:34:14.505842,2026-03-25 01:34:14.505842,2026-03-21 01:34:14.505842
75,Cliente 75,47058276056,,-149.31,2026-03-23 01:34:14.505842,2026-03-23 01:34:14.505842,2026-03-21 01:34:14.505842
76,Cliente 76,32579883413,user76@email.com,306.41,2026-03-24 01:34:14.505842,2026-03-27 01:34:14.505842,2026-03-23 01:34:14.505842
77,Cliente 77,28740964852,user77@email.com,382.35,2026-03-23 01:34:14.505842,2026-03-24 01:34:14.505842,2026-03-23 01:34:14.505842
78,Cliente 78,40199853987,user78@email.com,320.93,2026-03-20 01:34:14.505842,2026-03-19 01:34:14.505842,2026-03-24 01:34:14.505842
79,Cliente 79,17640961307,user79@email.com,333.39,2026-03-22 01:34:14.505842,2026-03-21 01:34:14.505842,2026-03-22 01:34:14.505842
80,Cliente 80,12345678900,invalid_email,475.67,2026-03-19 01:34:14.505842,2026-03-22 01:34:14.505842,2026-03-23 01:34:14.505842
81,Cliente 81,61391008789,user81@email.com,475.14,2026-03-21 01:34:14.505842,2026-03-21 01:34:14.505842,2026-03-21 01:34:14.505842
82,Cliente 82,31540166839,user82@email.com,456.31,2026-03-23 01:34:14.505842,2026-03-26 01:34:14.505842,2026-03-21 01:34:14.505842
83,Cliente 83,15267725066,user83@email.com,301.7,2026-03-19 01:34:14.505842,2026-03-20 01:34:14.505842,2026-03-24 01:34:14.505842
84,Cliente 84,18407444225,user84@email.com,487.29,2026-03-20 01:34:14.505842,2026-03-19 01:34:14.505842,2026-03-24 01:34:14.505842
85,Cliente 85,11451132198,user85@email.com,236.18,2026-03-23 01:34:14.505842,2026-03-22 01:34:14.505842,2026-03-22 01:34:14.505842
86,Cliente 86,88133599471,user86@email.com,286.13,2026-03-23 01:34:14.505842,2026-03-22 01:34:14.505842,2026-03-24 01:34:14.505842
87,Cliente 87,76889783381,user87@email.com,350.23,2026-03-21 01:34:14.505842,2026-03-20 01:34:14.505842,2026-03-21 01:34:14.505842
88,Cliente 88,33337984069,user88@email.com,113.95,2026-03-21 01:34:14.505842,2026-03-20 01:34:14.505842,2026-03-21 01:34:14.505842
89,Cliente 89,71264061014,user89@email.com,345.5,2026-03-24 01:34:14.505842,2026-03-24 01:34:14.505842,2026-03-23 01:34:14.505842
90,Cliente 90,63086998679,,361.64,2026-03-19 01:34:14.505842,2026-03-19 01:34:14.505842,2026-03-23 01:34:14.505842
91,Cliente 91,65369106476,user91@email.com,198.86,2026-03-22 01:34:14.505842,2026-03-20 01:34:14.505842,2026-03-23 01:34:14.505842
92,Cliente 92,82834067905,user92@email.com,282.93,2026-03-24 01:34:14.505842,2026-03-23 01:34:14.505842,2026-03-21 01:34:14.505842
93,Cliente 93,15914796842,user93@email.com,106.13,2026-03-22 01:34:14.505842,2026-03-22 01:34:14.505842,2026-03-24 01:34:14.505842
94,Cliente 94,26279569910,user94@email.com,302.44,2026-03-19 01:34:14.505842,2026-03-20 01:34:14.505842,2026-03-21 01:34:14.505842
95,Cliente 95,42960300185,user95@email.com,89.68,2026-03-23 01:34:14.505842,2026-03-24 01:34:14.505842,2026-03-24 01:34:14.505842
96,Cliente 96,93524616366,user96@email.com,86.17,2026-03-24 01:34:14.505842,2026-03-27 01:34:14.505842,2026-03-23 01:34:14.505842
97,Cliente 97,48375397462,user97@email.com,59.16,2026-03-21 01:34:14.505842,2026-03-24 01:34:14.505842,2026-03-21 01:34:14.505842
98,Cliente 98,24281130478,user98@email.com,297.47,2026-03-22 01:34:14.505842,2026-03-25 01:34:14.505842,2026-03-23 01:34:14.505842
99,Cliente 99,55834485651,user99@email.com,350.95,2026-03-23 01:34:14.505842,2026-03-25 01:34:14.505842,2026-03-23 01:34:14.505842
100,Cliente 100,12345678900,invalid_email,-452.99,2026-03-24 01:34:14.505842,2026-03-25 01:34:14.505842,2026-03-21 01:34:14.505842
101,Cliente 101,79832816847,user101@email.com,276.31,2026-03-23 01:34:14.505842,2026-03-22 01:34:14.505842,2026-03-21 01:34:14.505842
102,Cliente 102,24282799804,user102@email.com,460.6,2026-03-22 01:34:14.505842,2026-03-22 01:34:14.505842,2026-03-23 01:34:14.505842
103,Cliente 103,16056187441,user103@email.com,262.44,2026-03-22 01:34:14.505842,2026-03-21 01:34:14.505842,2026-03-23 01:34:14.505842
104,Cliente 104,65022361416,user104@email.com,357.02,2026-03-20 01:34:14.505842,2026-03-19 01:34:14.505842,2026-03-23 01:34:14.505842
105,Cliente 105,49443496586,,461.42,2026-03-21 01:34:14.505842,2026-03-21 01:34:14.505842,2026-03-22 01:34:14.505842
106,Cliente 106,83405424775,user106@email.com,410.94,2026-03-20 01:34:14.505842,2026-03-22 01:34:14.505842,2026-03-22 01:34:14.505842
107,Cliente 107,43157914613,user107@email.com,359.82,2026-03-19 01:34:14.505842,2026-03-20 01:34:14.505842,2026-03-22 01:34:14.505842
108,Cliente 108,59501934115,user108@email.com,372.29,2026-03-24 01:34:14.505842,2026-03-23 01:34:14.505842,2026-03-21 01:34:14.505842
109,Cliente 109,56188166382,user109@email.com,445.9,2026-03-23 01:34:14.505842,2026-03-22 01:34:14.505842,2026-03-21 01:34:14.505842
110,Cliente 110,66270040328,invalid_email,299.83,2026-03-20 01:34:14.505842,2026-03-22 01:34:14.505842,2026-03-23 01:34:14.505842
111,Cliente 111,12641804195,user111@email.com,21.41,2026-03-22 01:34:14.505842,2026-03-24 01:34:14.505842,2026-03-22 01:34:14.505842
112,Cliente 112,46565162535,user112@email.com,314.13,2026-03-21 01:34:14.505842,2026-03-23 01:34:14.505842,2026-03-22 01:34:14.505842
113,Cliente 113,63471064626,user113@email.com,108.22,2026-03-19 01:34:14.505842,2026-03-17 01:34:14.505842,2026-03-23 01:34:14.505842
114,Cliente 114,61640869007,user114@email.com,128.81,2026-03-19 01:34:14.505842,2026-03-20 01:34:14.505842,2026-03-23 01:34:14.505842
115,Cliente 115,63715779216,user115@email.com,211.14,2026-03-23 01:34:14.505842,2026-03-25 01:34:14.505842,2026-03-22 01:34:14.505842
116,Cliente 116,94153813510,user116@email.com,258.58,2026-03-20 01:34:14.505842,2026-03-22 01:34:14.505842,2026-03-21 01:34:14.505842
117,Cliente 117,96785728917,user117@email.com,460.26,2026-03-21 01:34:14.505842,2026-03-24 01:34:14.505842,2026-03-23 01:34:14.505842
118,Cliente 118,14873091767,user118@email.com,228.09,2026-03-21 01:34:14.505842,2026-03-24 01:34:14.505842,2026-03-23 01:34:14.505842
119,Cliente 119,76039583273,user119@email.com,43.76,2026-03-24 01:34:14.505842,2026-03-23 01:34:14.505842,2026-03-24 01:34:14.505842
